question_number,response_category,demographic_parameter,subgroup,responders_n,base_sub_total,freq
T9,Afraid,Biological Sex,Men,166,1876,9
T9,Afraid,Biological Sex,Women,283,2083,14.000000000000002
T9,Afraid,Age,From 16 to 34,190,1020,19
T9,Afraid,Age,From 35 to 54,131,1228,11
T9,Afraid,Age,From 55 to 69,75,990,8
T9,Afraid,Age,70 and above,55,711,8
T9,Afraid,Age,35 and above,261,2929,9
T9,Afraid,Age,Under 55,321,2248,14.000000000000002
T9,Afraid,Area Type (Population Density),Urban (All),374,3346,11
T9,Afraid,Area Type (Population Density),Rural (All),84,728,12
T9,Afraid,Area Type (Population Density),Urban (Large),193,1525,13
T9,Afraid,Area Type (Population Density),Urban (Other),127,1338,9
T9,Afraid,Area Type (Population Density),Small Towns (Accessible),43,359,12
T9,Afraid,Area Type (Population Density),Small Towns (Remote),12,124,10
T9,Afraid,Area Type (Population Density),Rural (Accessible),56,490,11
T9,Afraid,Area Type (Population Density),Rural (Remote),28,239,12
T9,Afraid,Energy Hub Area,Yes/Applicable,77,759,10
T9,Afraid,Energy Hub Area,No/Not Applicable,382,3315,12
T9,Afraid,Flood Risk Area,Yes/Applicable,144,1313,11
T9,Afraid,Flood Risk Area,No/Not Applicable,314,2761,11
T9,Afraid,Education,No Formal Qualifications,35,578,6
T9,Afraid,Education,Other Qualifications,204,1757,12
T9,Afraid,Education,Degree or Higher Qualifications,178,1332,13
T9,Afraid,Education,Non-graduate,239,2334,10
T9,Afraid,Working Status,Employed (FT or PT),288,2231,13
T9,Afraid,Working Status,Unemployed,84,687,12
T9,Afraid,Working Status,Retired,77,992,8
T9,Afraid,Income,"Less than £26,000",122,1193,10
T9,Afraid,Income,"From £26,000 to less than £52,000",132,973,14.000000000000002
T9,Afraid,Income,"Less than £52,000",255,2166,12
T9,Afraid,Income,"£52,000 and above",92,858,11
T9,Confused,Overall Population,Overall Population,357,4074,9
T9,Confused,Biological Sex,Men,115,1876,6
T9,Confused,Biological Sex,Women,235,2083,11
T9,Confused,Age,From 16 to 34,80,1020,8
T9,Confused,Age,From 35 to 54,86,1228,7.000000000000001
T9,Confused,Age,From 55 to 69,101,990,10
T9,Confused,Age,70 and above,80,711,11
T9,Confused,Age,35 and above,267,2929,9
T9,Confused,Age,Under 55,166,2248,7.000000000000001
T9,Confused,Area Type (Population Density),Urban (All),305,3346,9
T9,Confused,Area Type (Population Density),Rural (All),52,728,7.000000000000001
T9,Confused,Area Type (Population Density),Urban (Large),147,1525,10
T9,Confused,Area Type (Population Density),Urban (Other),117,1338,9
T9,Confused,Area Type (Population Density),Small Towns (Accessible),31,359,9
T9,Confused,Area Type (Population Density),Small Towns (Remote),9,124,7.000000000000001
T9,Confused,Area Type (Population Density),Rural (Accessible),36,490,7.000000000000001
T9,Confused,Area Type (Population Density),Rural (Remote),17,239,7.000000000000001
T9,Confused,Energy Hub Area,Yes/Applicable,65,759,9
T9,Confused,Energy Hub Area,No/Not Applicable,292,3315,9
T9,Confused,Flood Risk Area,Yes/Applicable,106,1313,8
T9,Confused,Flood Risk Area,No/Not Applicable,251,2761,9
T9,Confused,Education,No Formal Qualifications,78,578,13
T9,Confused,Education,Other Qualifications,156,1757,9
T9,Confused,Education,Degree or Higher Qualifications,97,1332,7.000000000000001
T9,Confused,Education,Non-graduate,233,2334,10
T9,Confused,Working Status,Employed (FT or PT),164,2231,7.000000000000001
T9,Confused,Working Status,Unemployed,71,687,10
T9,Confused,Working Status,Retired,109,992,11
T9,Confused,Income,"Less than £26,000",120,1193,10
T9,Confused,Income,"From £26,000 to less than £52,000",85,973,9
T9,Confused,Income,"Less than £52,000",205,2166,9
T9,Confused,Income,"£52,000 and above",51,858,6
T9,Guilty,Overall Population,Overall Population,346,4074,8
T9,Guilty,Biological Sex,Men,107,1876,6
T9,Guilty,Biological Sex,Women,230,2083,11
T9,Guilty,Age,From 16 to 34,132,1020,13
T9,Guilty,Age,From 35 to 54,120,1228,10
T9,Guilty,Age,From 55 to 69,60,990,6
T9,Guilty,Age,70 and above,27,711,4
T9,Guilty,Age,35 and above,207,2929,7.000000000000001
T9,Guilty,Age,Under 55,252,2248,11
T9,Guilty,Area Type (Population Density),Urban (All),291,3346,9
T9,Guilty,Area Type (Population Density),Rural (All),55,728,8
T9,Guilty,Area Type (Population Density),Urban (Large),174,1525,11
T9,Guilty,Area Type (Population Density),Urban (Other),82,1338,6
T9,Guilty,Area Type (Population Density),Small Towns (Accessible),26,359,7.000000000000001
T9,Guilty,Area Type (Population Density),Small Towns (Remote),8,124,6
T9,Guilty,Area Type (Population Density),Rural (Accessible),38,490,8
T9,Guilty,Area Type (Population Density),Rural (Remote),16,239,7.000000000000001
T9,Guilty,Energy Hub Area,Yes/Applicable,50,759,7.000000000000001
T9,Guilty,Energy Hub Area,No/Not Applicable,296,3315,9
T9,Guilty,Flood Risk Area,Yes/Applicable,112,1313,9
T9,Guilty,Flood Risk Area,No/Not Applicable,234,2761,8
T9,Guilty,Education,No Formal Qualifications,18,578,3
T9,Guilty,Education,Other Qualifications,139,1757,8
T9,Guilty,Education,Degree or Higher Qualifications,146,1332,11
T9,Guilty,Education,Non-graduate,157,2334,7.000000000000001
T9,Guilty,Working Status,Employed (FT or PT),220,2231,10
T9,Guilty,Working Status,Unemployed,79,687,11
T9,Guilty,Working Status,Retired,43,992,4
T9,Guilty,Income,"Less than £26,000",94,1193,8
T9,Guilty,Income,"From £26,000 to less than £52,000",82,973,8
T9,Guilty,Income,"Less than £52,000",176,2166,8
T9,Guilty,Income,"£52,000 and above",107,858,12
T9,Determined,Overall Population,Overall Population,281,4074,7.000000000000001
T9,Determined,Biological Sex,Men,136,1876,7.000000000000001
T9,Determined,Biological Sex,Women,138,2083,7.000000000000001
T9,Determined,Age,From 16 to 34,94,1020,9
T9,Determined,Age,From 35 to 54,90,1228,7.000000000000001
T9,Determined,Age,From 55 to 69,60,990,6
T9,Determined,Age,70 and above,31,711,4
T9,Determined,Age,35 and above,180,2929,6
T9,Determined,Age,Under 55,184,2248,8
T9,Determined,Area Type (Population Density),Urban (All),236,3346,7.000000000000001
T9,Determined,Area Type (Population Density),Rural (All),45,728,6
T9,Determined,Area Type (Population Density),Urban (Large),121,1525,8
T9,Determined,Area Type (Population Density),Urban (Other),85,1338,6
T9,Determined,Area Type (Population Density),Small Towns (Accessible),19,359,5
T9,Determined,Area Type (Population Density),Small Towns (Remote),10,124,8
T9,Determined,Area Type (Population Density),Rural (Accessible),33,490,7.000000000000001
T9,Determined,Area Type (Population Density),Rural (Remote),12,239,5
T9,Determined,Energy Hub Area,Yes/Applicable,47,759,6
T9,Determined,Energy Hub Area,No/Not Applicable,234,3315,7.000000000000001
T9,Determined,Flood Risk Area,Yes/Applicable,83,1313,6
T9,Determined,Flood Risk Area,No/Not Applicable,198,2761,7.000000000000001
T9,Determined,Education,No Formal Qualifications,30,578,5
T9,Determined,Education,Other Qualifications,110,1757,6
T9,Determined,Education,Degree or Higher Qualifications,123,1332,9
T9,Determined,Education,Non-graduate,141,2334,6
T9,Determined,Working Status,Employed (FT or PT),162,2231,7.000000000000001
T9,Determined,Working Status,Unemployed,60,687,9
T9,Determined,Working Status,Retired,50,992,5
T9,Determined,Income,"Less than £26,000",76,1193,6
T9,Determined,Income,"From £26,000 to less than £52,000",69,973,7.000000000000001
T9,Determined,Income,"Less than £52,000",145,2166,7.000000000000001
T9,Determined,Income,"£52,000 and above",90,858,10
T9,Other - specify,Overall Population,Overall Population,148,4074,4
T9,Other - specify,Biological Sex,Men,87,1876,5
T9,Other - specify,Biological Sex,Women,51,2083,2
T9,Other - specify,Age,From 16 to 34,21,1020,2
T9,Other - specify,Age,From 35 to 54,49,1228,4
T9,Other - specify,Age,From 55 to 69,43,990,4
T9,Other - specify,Age,70 and above,22,711,3
T9,Other - specify,Age,35 and above,114,2929,4
T9,Other - specify,Age,Under 55,70,2248,3
T9,Other - specify,Area Type (Population Density),Urban (All),122,3346,4
T9,Other - specify,Area Type (Population Density),Rural (All),26,728,4
T9,Other - specify,Area Type (Population Density),Urban (Large),62,1525,4
T9,Other - specify,Area Type (Population Density),Urban (Other),42,1338,3
T9,Other - specify,Area Type (Population Density),Small Towns (Accessible),12,359,3
T9,Other - specify,Area Type (Population Density),Small Towns (Remote),6,124,5
T9,Other - specify,Area Type (Population Density),Rural (Accessible),18,490,4
T9,Other - specify,Area Type (Population Density),Rural (Remote),8,239,3
T9,Other - specify,Energy Hub Area,Yes/Applicable,41,759,5
T9,Other - specify,Energy Hub Area,No/Not Applicable,106,3315,3
T9,Other - specify,Flood Risk Area,Yes/Applicable,48,1313,4
T9,Other - specify,Flood Risk Area,No/Not Applicable,99,2761,4
T9,Other - specify,Education,No Formal Qualifications,13,578,2
T9,Other - specify,Education,Other Qualifications,54,1757,3
T9,Other - specify,Education,Degree or Higher Qualifications,67,1332,5
T9,Other - specify,Education,Non-graduate,67,2334,3
T9,Other - specify,Working Status,Employed (FT or PT),82,2231,4
T9,Other - specify,Working Status,Unemployed,22,687,3
T9,Other - specify,Working Status,Retired,33,992,3
T9,Other - specify,Income,"Less than £26,000",27,1193,2
T9,Other - specify,Income,"From £26,000 to less than £52,000",27,973,3
T9,Other - specify,Income,"Less than £52,000",54,2166,2
T9,Other - specify,Income,"£52,000 and above",44,858,5
T9,Don't know,Overall Population,Overall Population,97,4074,2
T9,Don't know,Biological Sex,Men,33,1876,2
T9,Don't know,Biological Sex,Women,58,2083,3
T9,Don't know,Age,From 16 to 34,34,1020,3
T9,Don't know,Age,From 35 to 54,29,1228,2
T9,Don't know,Age,From 55 to 69,19,990,2
T9,Don't know,Age,70 and above,12,711,2
T9,Don't know,Age,35 and above,60,2929,2
T9,Don't know,Age,Under 55,63,2248,3
T9,Don't know,Area Type (Population Density),Urban (All),85,3346,3
T9,Don't know,Area Type (Population Density),Rural (All),13,728,2
T9,Don't know,Area Type (Population Density),Urban (Large),30,1525,2
T9,Don't know,Area Type (Population Density),Urban (Other),36,1338,3
T9,Don't know,Area Type (Population Density),Small Towns (Accessible),9,359,3
T9,Don't know,Area Type (Population Density),Small Towns (Remote),9,124,7.000000000000001
T9,Don't know,Area Type (Population Density),Rural (Accessible),4,490,1
T9,Don't know,Area Type (Population Density),Rural (Remote),8,239,3
T9,Don't know,Energy Hub Area,Yes/Applicable,22,759,3
T9,Don't know,Energy Hub Area,No/Not Applicable,75,3315,2
T9,Don't know,Flood Risk Area,Yes/Applicable,40,1313,3
T9,Don't know,Flood Risk Area,No/Not Applicable,57,2761,2
T9,Don't know,Education,No Formal Qualifications,28,578,5
T9,Don't know,Education,Other Qualifications,33,1757,2
T9,Don't know,Education,Degree or Higher Qualifications,14,1332,1
T9,Don't know,Education,Non-graduate,61,2334,3
T9,Don't know,Working Status,Employed (FT or PT),45,2231,2
T9,Don't know,Working Status,Unemployed,27,687,4
T9,Don't know,Working Status,Retired,16,992,2
T9,Don't know,Income,"Less than £26,000",40,1193,3
T9,Don't know,Income,"From £26,000 to less than £52,000",13,973,1
T9,Don't know,Income,"Less than £52,000",53,2166,2
T9,Don't know,Income,"£52,000 and above",5,858,1
T9,Prefer not to say,Overall Population,Overall Population,13,4074,0
T9,Prefer not to say,Biological Sex,Men,6,1876,0
T9,Prefer not to say,Biological Sex,Women,2,2083,0
T9,Prefer not to say,Age,From 16 to 34,3,1020,0
T9,Prefer not to say,Age,From 35 to 54,5,1228,0
T9,Prefer not to say,Age,From 55 to 69,2,990,0
T9,Prefer not to say,Age,70 and above,NA,711,NA
T9,Prefer not to say,Age,35 and above,7,2929,0
T9,Prefer not to say,Age,Under 55,7,2248,0
T9,Prefer not to say,Area Type (Population Density),Urban (All),9,3346,0
T9,Prefer not to say,Area Type (Population Density),Rural (All),5,728,1
T9,Prefer not to say,Area Type (Population Density),Urban (Large),2,1525,0
T9,Prefer not to say,Area Type (Population Density),Urban (Other),5,1338,0
T9,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),2,359,1
T9,Prefer not to say,Area Type (Population Density),Small Towns (Remote),NA,124,NA
T9,Prefer not to say,Area Type (Population Density),Rural (Accessible),3,490,1
T9,Prefer not to say,Area Type (Population Density),Rural (Remote),2,239,1
T9,Prefer not to say,Energy Hub Area,Yes/Applicable,2,759,0
T9,Prefer not to say,Energy Hub Area,No/Not Applicable,11,3315,0
T9,Prefer not to say,Flood Risk Area,Yes/Applicable,2,1313,0
T9,Prefer not to say,Flood Risk Area,No/Not Applicable,12,2761,0
T9,Prefer not to say,Education,No Formal Qualifications,NA,578,NA
T9,Prefer not to say,Education,Other Qualifications,3,1757,0
T9,Prefer not to say,Education,Degree or Higher Qualifications,NA,1332,NA
T9,Prefer not to say,Education,Non-graduate,3,2334,0
T9,Prefer not to say,Working Status,Employed (FT or PT),5,2231,0
T9,Prefer not to say,Working Status,Unemployed,NA,687,NA
T9,Prefer not to say,Working Status,Retired,1,992,0
T9,Prefer not to say,Income,"Less than £26,000",4,1193,0
T9,Prefer not to say,Income,"From £26,000 to less than £52,000",NA,973,NA
T9,Prefer not to say,Income,"Less than £52,000",4,2166,0
T9,Prefer not to say,Income,"£52,000 and above",2,858,0
T11,Constantly,Overall Population,Overall Population,78,4055,2
T11,Constantly,Biological Sex,Men,43,1865,2
T11,Constantly,Biological Sex,Women,35,2079,2
T11,Constantly,Age,From 16 to 34,21,1020,2
T11,Constantly,Age,From 35 to 54,23,1225,2
T11,Constantly,Age,From 55 to 69,17,986,2
T11,Constantly,Age,70 and above,17,702,2
T11,Constantly,Age,35 and above,57,2913,2
T11,Constantly,Age,Under 55,45,2246,2
T11,Constantly,Area Type (Population Density),Urban (All),66,3326,2
T11,Constantly,Area Type (Population Density),Rural (All),13,730,2
T11,Constantly,Area Type (Population Density),Urban (Large),41,1516,3
T11,Constantly,Area Type (Population Density),Urban (Other),21,1328,2
T11,Constantly,Area Type (Population Density),Small Towns (Accessible),3,358,1
T11,Constantly,Area Type (Population Density),Small Towns (Remote),2,124,2
T11,Constantly,Area Type (Population Density),Rural (Accessible),10,492,2
T11,Constantly,Area Type (Population Density),Rural (Remote),3,238,1
T11,Constantly,Energy Hub Area,Yes/Applicable,7,757,1
T11,Constantly,Energy Hub Area,No/Not Applicable,71,3298,2
T11,Constantly,Flood Risk Area,Yes/Applicable,25,1307,2
T11,Constantly,Flood Risk Area,No/Not Applicable,54,2749,2
T11,Constantly,Education,No Formal Qualifications,15,574,3
T11,Constantly,Education,Other Qualifications,36,1748,2
T11,Constantly,Education,Degree or Higher Qualifications,25,1329,2
T11,Constantly,Education,Non-graduate,51,2322,2
T11,Constantly,Working Status,Employed (FT or PT),42,2229,2
T11,Constantly,Working Status,Unemployed,11,683,2
T11,Constantly,Working Status,Retired,24,977,2
T11,Constantly,Income,"Less than £26,000",46,1181,4
T11,Constantly,Income,"From £26,000 to less than £52,000",11,969,1
T11,Constantly,Income,"Less than £52,000",57,2150,3
T11,Constantly,Income,"£52,000 and above",4,858,0
T11,Often,Overall Population,Overall Population,381,4055,9
T11,Often,Biological Sex,Men,159,1865,9
T11,Often,Biological Sex,Women,212,2079,10
T11,Often,Age,From 16 to 34,80,1020,8
T11,Often,Age,From 35 to 54,93,1225,8
T11,Often,Age,From 55 to 69,99,986,10
T11,Often,Age,70 and above,98,702,14.000000000000002
T11,Often,Age,35 and above,290,2913,10
T11,Often,Age,Under 55,173,2246,8
T11,Often,Area Type (Population Density),Urban (All),315,3326,9
T11,Often,Area Type (Population Density),Rural (All),67,730,9
T11,Often,Area Type (Population Density),Urban (Large),141,1516,9
T11,Often,Area Type (Population Density),Urban (Other),131,1328,10
T11,Often,Area Type (Population Density),Small Towns (Accessible),30,358,8
T11,Often,Area Type (Population Density),Small Towns (Remote),12,124,10
T11,Often,Area Type (Population Density),Rural (Accessible),39,492,8
T11,Often,Area Type (Population Density),Rural (Remote),28,238,12
T11,Often,Energy Hub Area,Yes/Applicable,62,757,8
T11,Often,Energy Hub Area,No/Not Applicable,319,3298,10
T11,Often,Flood Risk Area,Yes/Applicable,105,1307,8
T11,Often,Flood Risk Area,No/Not Applicable,276,2749,10
T11,Often,Education,No Formal Qualifications,70,574,12
T11,Often,Education,Other Qualifications,158,1748,9
T11,Often,Education,Degree or Higher Qualifications,113,1329,9
T11,Often,Education,Non-graduate,228,2322,10
T11,Often,Working Status,Employed (FT or PT),179,2229,8
T11,Often,Working Status,Unemployed,72,683,11
T11,Often,Working Status,Retired,118,977,12
T11,Often,Income,"Less than £26,000",155,1181,13
T11,Often,Income,"From £26,000 to less than £52,000",77,969,8
T11,Often,Income,"Less than £52,000",232,2150,11
T11,Often,Income,"£52,000 and above",63,858,7.000000000000001
T11,Sometimes,Overall Population,Overall Population,1354,4055,33
T11,Sometimes,Biological Sex,Men,543,1865,28.999999999999996
T11,Sometimes,Biological Sex,Women,775,2079,37
T11,Sometimes,Age,From 16 to 34,336,1020,33
T11,Sometimes,Age,From 35 to 54,365,1225,30
T11,Sometimes,Age,From 55 to 69,329,986,33
T11,Sometimes,Age,70 and above,282,702,40
T11,Sometimes,Age,35 and above,976,2913,34
T11,Sometimes,Age,Under 55,700,2246,31
T11,Sometimes,Area Type (Population Density),Urban (All),1143,3326,34
T11,Sometimes,Area Type (Population Density),Rural (All),212,730,28.999999999999996
T11,Sometimes,Area Type (Population Density),Urban (Large),532,1516,35
T11,Sometimes,Area Type (Population Density),Urban (Other),468,1328,35
T11,Sometimes,Area Type (Population Density),Small Towns (Accessible),106,358,30
T11,Sometimes,Area Type (Population Density),Small Towns (Remote),37,124,30
T11,Sometimes,Area Type (Population Density),Rural (Accessible),141,492,28.999999999999996
T11,Sometimes,Area Type (Population Density),Rural (Remote),71,238,30
T11,Sometimes,Energy Hub Area,Yes/Applicable,233,757,31
T11,Sometimes,Energy Hub Area,No/Not Applicable,1121,3298,34
T11,Sometimes,Flood Risk Area,Yes/Applicable,428,1307,33
T11,Sometimes,Flood Risk Area,No/Not Applicable,926,2749,34
T11,Sometimes,Education,No Formal Qualifications,239,574,42
T11,Sometimes,Education,Other Qualifications,551,1748,32
T11,Sometimes,Education,Degree or Higher Qualifications,433,1329,33
T11,Sometimes,Education,Non-graduate,789,2322,34
T11,Sometimes,Working Status,Employed (FT or PT),681,2229,31
T11,Sometimes,Working Status,Unemployed,236,683,35
T11,Sometimes,Working Status,Retired,370,977,38
T11,Sometimes,Income,"Less than £26,000",438,1181,37
T11,Sometimes,Income,"From £26,000 to less than £52,000",326,969,34
T11,Sometimes,Income,"Less than £52,000",764,2150,36
T11,Sometimes,Income,"£52,000 and above",214,858,25
T11,Rarely,Overall Population,Overall Population,1163,4055,28.999999999999996
T11,Rarely,Biological Sex,Men,526,1865,28.000000000000004
T11,Rarely,Biological Sex,Women,612,2079,28.999999999999996
T11,Rarely,Age,From 16 to 34,307,1020,30
T11,Rarely,Age,From 35 to 54,381,1225,31
T11,Rarely,Age,From 55 to 69,285,986,28.999999999999996
T11,Rarely,Age,70 and above,167,702,24
T11,Rarely,Age,35 and above,832,2913,28.999999999999996
T11,Rarely,Age,Under 55,687,2246,31
T11,Rarely,Area Type (Population Density),Urban (All),948,3326,28.999999999999996
T11,Rarely,Area Type (Population Density),Rural (All),215,730,28.999999999999996
T11,Rarely,Area Type (Population Density),Urban (Large),466,1516,31
T11,Rarely,Area Type (Population Density),Urban (Other),340,1328,26
T11,Rarely,Area Type (Population Density),Small Towns (Accessible),115,358,32
T11,Rarely,Area Type (Population Density),Small Towns (Remote),27,124,22
T11,Rarely,Area Type (Population Density),Rural (Accessible),147,492,30
T11,Rarely,Area Type (Population Density),Rural (Remote),68,238,28.999999999999996
T11,Rarely,Energy Hub Area,Yes/Applicable,234,757,31
T11,Rarely,Energy Hub Area,No/Not Applicable,930,3298,28.000000000000004
T11,Rarely,Flood Risk Area,Yes/Applicable,378,1307,28.999999999999996
T11,Rarely,Flood Risk Area,No/Not Applicable,785,2749,28.999999999999996
T11,Rarely,Education,No Formal Qualifications,115,574,20
T11,Rarely,Education,Other Qualifications,489,1748,28.000000000000004
T11,Rarely,Education,Degree or Higher Qualifications,440,1329,33
T11,Rarely,Education,Non-graduate,604,2322,26
T11,Rarely,Working Status,Employed (FT or PT),667,2229,30
T11,Rarely,Working Status,Unemployed,209,683,31
T11,Rarely,Working Status,Retired,258,977,26
T11,Rarely,Income,"Less than £26,000",282,1181,24
T11,Rarely,Income,"From £26,000 to less than £52,000",304,969,31
T11,Rarely,Income,"Less than £52,000",586,2150,27
T11,Rarely,Income,"£52,000 and above",305,858,36
T11,Never,Overall Population,Overall Population,973,4055,24
T11,Never,Biological Sex,Men,560,1865,30
T11,Never,Biological Sex,Women,385,2079,19
T11,Never,Age,From 16 to 34,257,1020,25
T11,Never,Age,From 35 to 54,328,1225,27
T11,Never,Age,From 55 to 69,234,986,24
T11,Never,Age,70 and above,118,702,17
T11,Never,Age,35 and above,681,2913,23
T11,Never,Age,Under 55,586,2246,26
T11,Never,Area Type (Population Density),Urban (All),768,3326,23
T11,Never,Area Type (Population Density),Rural (All),205,730,28.000000000000004
T11,Never,Area Type (Population Density),Urban (Large),308,1516,20
T11,Never,Area Type (Population Density),Urban (Other),324,1328,24
T11,Never,Area Type (Population Density),Small Towns (Accessible),93,358,26
T11,Never,Area Type (Population Density),Small Towns (Remote),43,124,35
T11,Never,Area Type (Population Density),Rural (Accessible),149,492,30
T11,Never,Area Type (Population Density),Rural (Remote),56,238,24
T11,Never,Energy Hub Area,Yes/Applicable,212,757,28.000000000000004
T11,Never,Energy Hub Area,No/Not Applicable,761,3298,23
T11,Never,Flood Risk Area,Yes/Applicable,332,1307,25
T11,Never,Flood Risk Area,No/Not Applicable,642,2749,23
T11,Never,Education,No Formal Qualifications,108,574,19
T11,Never,Education,Other Qualifications,482,1748,28.000000000000004
T11,Never,Education,Degree or Higher Qualifications,300,1329,23
T11,Never,Education,Non-graduate,589,2322,25
T11,Never,Working Status,Employed (FT or PT),608,2229,27
T11,Never,Working Status,Unemployed,134,683,20
T11,Never,Working Status,Retired,184,977,19
T11,Never,Income,"Less than £26,000",219,1181,19
T11,Never,Income,"From £26,000 to less than £52,000",237,969,24
T11,Never,Income,"Less than £52,000",456,2150,21
T11,Never,Income,"£52,000 and above",266,858,31
T11,Don't know,Overall Population,Overall Population,91,4055,2
T11,Don't know,Biological Sex,Men,31,1865,2
T11,Don't know,Biological Sex,Women,57,2079,3
T11,Don't know,Age,From 16 to 34,17,1020,2
T11,Don't know,Age,From 35 to 54,31,1225,3
T11,Don't know,Age,From 55 to 69,21,986,2
T11,Don't know,Age,70 and above,19,702,3
T11,Don't know,Age,35 and above,71,2913,2
T11,Don't know,Age,Under 55,48,2246,2
T11,Don't know,Area Type (Population Density),Urban (All),75,3326,2
T11,Don't know,Area Type (Population Density),Rural (All),16,730,2
T11,Don't know,Area Type (Population Density),Urban (Large),26,1516,2
T11,Don't know,Area Type (Population Density),Urban (Other),36,1328,3
T11,Don't know,Area Type (Population Density),Small Towns (Accessible),10,358,3
T11,Don't know,Area Type (Population Density),Small Towns (Remote),2,124,2
T11,Don't know,Area Type (Population Density),Rural (Accessible),6,492,1
T11,Don't know,Area Type (Population Density),Rural (Remote),10,238,4
T11,Don't know,Energy Hub Area,Yes/Applicable,10,757,1
T11,Don't know,Energy Hub Area,No/Not Applicable,81,3298,2
T11,Don't know,Flood Risk Area,Yes/Applicable,35,1307,3
T11,Don't know,Flood Risk Area,No/Not Applicable,56,2749,2
T11,Don't know,Education,No Formal Qualifications,26,574,5
T11,Don't know,Education,Other Qualifications,33,1748,2
T11,Don't know,Education,Degree or Higher Qualifications,15,1329,1
T11,Don't know,Education,Non-graduate,60,2322,3
T11,Don't know,Working Status,Employed (FT or PT),47,2229,2
T11,Don't know,Working Status,Unemployed,21,683,3
T11,Don't know,Working Status,Retired,22,977,2
T11,Don't know,Income,"Less than £26,000",40,1181,3
T11,Don't know,Income,"From £26,000 to less than £52,000",14,969,1
T11,Don't know,Income,"Less than £52,000",53,2150,2
T11,Don't know,Income,"£52,000 and above",5,858,1
T11,Prefer not to say,Overall Population,Overall Population,14,4055,0
T11,Prefer not to say,Biological Sex,Men,4,1865,0
T11,Prefer not to say,Biological Sex,Women,3,2079,0
T11,Prefer not to say,Age,From 16 to 34,2,1020,0
T11,Prefer not to say,Age,From 35 to 54,4,1225,0
T11,Prefer not to say,Age,From 55 to 69,1,986,0
T11,Prefer not to say,Age,70 and above,1,702,0
T11,Prefer not to say,Age,35 and above,6,2913,0
T11,Prefer not to say,Age,Under 55,6,2246,0
T11,Prefer not to say,Area Type (Population Density),Urban (All),12,3326,0
T11,Prefer not to say,Area Type (Population Density),Rural (All),2,730,0
T11,Prefer not to say,Area Type (Population Density),Urban (Large),3,1516,0
T11,Prefer not to say,Area Type (Population Density),Urban (Other),7,1328,1
T11,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),2,358,1
T11,Prefer not to say,Area Type (Population Density),Small Towns (Remote),NA,124,NA
T11,Prefer not to say,Area Type (Population Density),Rural (Accessible),1,492,0
T11,Prefer not to say,Area Type (Population Density),Rural (Remote),1,238,0
T11,Prefer not to say,Energy Hub Area,Yes/Applicable,NA,757,NA
T11,Prefer not to say,Energy Hub Area,No/Not Applicable,14,3298,0
T11,Prefer not to say,Flood Risk Area,Yes/Applicable,3,1307,0
T11,Prefer not to say,Flood Risk Area,No/Not Applicable,10,2749,0
T11,Prefer not to say,Education,No Formal Qualifications,NA,574,NA
T11,Prefer not to say,Education,Other Qualifications,NA,1748,NA
T11,Prefer not to say,Education,Degree or Higher Qualifications,2,1329,0
T11,Prefer not to say,Education,Non-graduate,NA,2322,NA
T11,Prefer not to say,Working Status,Employed (FT or PT),5,2229,0
T11,Prefer not to say,Working Status,Unemployed,NA,683,NA
T11,Prefer not to say,Working Status,Retired,1,977,0
T11,Prefer not to say,Income,"Less than £26,000",3,1181,0
T11,Prefer not to say,Income,"From £26,000 to less than £52,000",NA,969,NA
T11,Prefer not to say,Income,"Less than £52,000",3,2150,0
T11,Prefer not to say,Income,"£52,000 and above",1,858,0
